strategy,combination,filters,gate_threshold,ichimoku_mode,train_sharpe,train_win_rate,train_trades,train_cagr,train_max_dd,test_sharpe,test_win_rate,test_trades,test_cagr,test_max_dd,sharpe_degradation,combined_score
MAJORITY_4,msvr_direction+smooth_direction+cycle_direction+chikou_bullish,msvr_direction+smooth_direction+cycle_direction+chikou_bullish,2,standard,1.02,41.5,94,47.32,-65.27,0.88,39.5,43,28.5,-31.86,-13.7,0.8083720930232556
MAJORITY_4,msvr_direction+smooth_direction+cycle_direction_short+lr_direction,msvr_direction+smooth_direction+cycle_direction_short+lr_direction,2,standard,0.61,30.1,93,20.05,-78.08,0.86,47.5,40,29.24,-40.55,41.0,1.0212500000000002
MAJORITY_4,msvr_direction+smooth_direction+lr_direction+entropy_gate,msvr_direction+smooth_direction+lr_direction+entropy_gate,3,standard,1.13,35.7,42,51.92,-51.59,0.85,38.1,21,25.78,-30.51,-24.8,1.542142857142857
MAJORITY_3,msvr_direction+smooth_direction+lr_direction,msvr_direction+smooth_direction+lr_direction,3,relaxed,1.62,47.4,38,79.35,-35.94,0.85,32.0,25,20.96,-24.56,-47.5,1.088
MAJORITY_4,msvr_direction+smooth_direction+lr_direction+entropy_gate,msvr_direction+smooth_direction+lr_direction+entropy_gate,4,standard,1.56,50.0,38,74.04,-39.73,0.83,33.3,24,19.97,-24.56,-46.8,1.151625
MAJORITY_3,msvr_direction+smooth_direction+lr_direction,msvr_direction+smooth_direction+lr_direction,3,standard,1.56,50.0,38,74.04,-39.73,0.83,33.3,24,19.97,-24.56,-46.8,1.151625
MAJORITY_4,msvr_direction+smooth_direction+cycle_direction_long+lr_direction,msvr_direction+smooth_direction+cycle_direction_long+lr_direction,3,standard,1.19,42.9,56,53.02,-47.9,0.83,45.2,31,22.1,-26.38,-30.3,1.2101935483870967
MAJORITY_5,msvr_direction+smooth_direction+cycle_direction+lr_direction+entropy_gate,msvr_direction+smooth_direction+cycle_direction+lr_direction+entropy_gate,3,standard,0.86,34.2,73,36.57,-70.73,0.83,48.6,35,27.4,-33.84,-3.5,1.1525142857142856
MAJORITY_3,msvr_direction+cycle_direction+trend_filter,msvr_direction+cycle_direction+trend_filter,2,standard,1.04,45.1,51,46.28,-50.65,0.82,53.6,28,26.24,-30.38,-21.2,1.5697142857142858
MAJORITY_4,msvr_direction+cycle_direction+entropy_gate+trend_filter,msvr_direction+cycle_direction+entropy_gate+trend_filter,3,standard,1.04,45.1,51,46.28,-50.65,0.82,53.6,28,26.24,-30.38,-21.2,1.5697142857142858
MAJORITY_5,msvr_direction+smooth_direction+cycle_direction+lr_direction+trend_filter,msvr_direction+smooth_direction+cycle_direction+lr_direction+trend_filter,2,standard,0.74,33.3,69,29.31,-71.13,0.82,43.5,23,29.5,-34.57,10.8,1.5508695652173912
OR,ichimoku_or_er_gate,er_gate,1,standard,0.85,45.0,111,39.81,-65.56,0.81,66.7,54,28.34,-40.89,-4.7,1.0005
MAJORITY_4,msvr_direction+smooth_direction+lr_direction+er_gate,msvr_direction+smooth_direction+lr_direction+er_gate,4,standard,1.57,51.5,66,67.9,-34.22,0.81,35.5,31,17.73,-26.99,-48.4,0.9275806451612905
MAJORITY_3,msvr_direction+cycle_direction+trend_filter,msvr_direction+cycle_direction+trend_filter,2,relaxed,1.13,52.3,44,52.93,-51.97,0.8,53.8,26,25.21,-30.38,-29.2,1.6553846153846155
MAJORITY_4,msvr_direction+smooth_direction+cycle_direction+trend_filter_short,msvr_direction+smooth_direction+cycle_direction+trend_filter_short,2,standard,0.85,28.4,67,36.44,-68.21,0.8,48.0,25,26.72,-37.85,-5.9,1.5360000000000003
