date,composite,price
2010-11-14 00:00:00+00:00,-0.45132111934966324,0.28
2010-11-15 00:00:00+00:00,-0.45601951379497463,0.27
2010-11-16 00:00:00+00:00,-0.3739879005112701,0.25
2010-11-17 00:00:00+00:00,-0.38787232050789566,0.26
2010-11-18 00:00:00+00:00,-0.3577391010518429,0.27
2010-11-19 00:00:00+00:00,-0.2378856347722315,0.27
2010-11-20 00:00:00+00:00,-0.6679047123794627,0.28
2010-11-21 00:00:00+00:00,-0.11420302368868322,0.28
2010-11-22 00:00:00+00:00,-0.09273087879725324,0.28
2010-11-23 00:00:00+00:00,-0.269340650160205,0.28
2010-11-24 00:00:00+00:00,-0.644610423557243,0.28
2010-11-25 00:00:00+00:00,-0.5797700595278495,0.28
2010-11-26 00:00:00+00:00,-0.4320945973770656,0.28
2010-11-27 00:00:00+00:00,-0.6352908647144081,0.28
2010-11-28 00:00:00+00:00,-0.21636416524304103,0.28
2010-11-29 00:00:00+00:00,-0.05226392806654471,0.25
2010-11-30 00:00:00+00:00,-0.014427153392488077,0.21
2010-12-01 00:00:00+00:00,-0.014857296135471376,0.21
2010-12-02 00:00:00+00:00,0.07298398292050272,0.24
2010-12-03 00:00:00+00:00,-0.02584706636267864,0.25
2010-12-04 00:00:00+00:00,-0.4972967468396842,0.23
2010-12-05 00:00:00+00:00,0.15685166274919024,0.21
2010-12-06 00:00:00+00:00,0.13587132171506822,0.2
2010-12-07 00:00:00+00:00,0.11496029121942934,0.22
2010-12-08 00:00:00+00:00,0.0914353018752571,0.23
2010-12-09 00:00:00+00:00,0.1059335465167135,0.21
2010-12-10 00:00:00+00:00,0.19233885481489857,0.19
2010-12-11 00:00:00+00:00,-0.47473511078061165,0.22
2010-12-12 00:00:00+00:00,0.12518350537589104,0.21
2010-12-13 00:00:00+00:00,0.08043258348920301,0.22
2010-12-14 00:00:00+00:00,-0.1383322081981774,0.23
2010-12-15 00:00:00+00:00,-0.1520535718451507,0.24
2010-12-16 00:00:00+00:00,-0.10091142832353017,0.25
2010-12-17 00:00:00+00:00,-0.0639878297766762,0.25
2010-12-18 00:00:00+00:00,-0.5154617902460596,0.25
2010-12-19 00:00:00+00:00,-0.2622349616054381,0.24
2010-12-20 00:00:00+00:00,-0.4148164057674893,0.26
2010-12-21 00:00:00+00:00,-0.256896786371352,0.25
2010-12-22 00:00:00+00:00,-0.21649693221657618,0.25
2010-12-23 00:00:00+00:00,-0.3607867614220834,0.25
2010-12-24 00:00:00+00:00,-0.5246733283965808,0.25
2010-12-25 00:00:00+00:00,-0.5299838365092926,0.25
2010-12-26 00:00:00+00:00,-0.5302679037645668,0.25
2010-12-27 00:00:00+00:00,-0.5429588157742903,0.26
2010-12-28 00:00:00+00:00,-0.5286262991759167,0.27
2010-12-29 00:00:00+00:00,-0.47597858925810577,0.29
2010-12-30 00:00:00+00:00,-0.5424683906414562,0.3
2010-12-31 00:00:00+00:00,-0.5031324851152715,0.29
2011-01-01 00:00:00+00:00,-0.6365523648427577,0.3
2011-01-02 00:00:00+00:00,-0.5880133927294106,0.3
2011-01-03 00:00:00+00:00,-0.6115787707757656,0.3
2011-01-04 00:00:00+00:00,-0.6245137191205326,0.29
2011-01-05 00:00:00+00:00,-0.619425050545824,0.3
2011-01-06 00:00:00+00:00,-0.629373353458945,0.3
2011-01-07 00:00:00+00:00,-0.6177141820979061,0.31
2011-01-08 00:00:00+00:00,-0.6544500513041045,0.31
2011-01-09 00:00:00+00:00,-0.6559759816929231,0.32
2011-01-10 00:00:00+00:00,-0.5818278853986174,0.32
2011-01-11 00:00:00+00:00,-0.6320428246563117,0.32
2011-01-12 00:00:00+00:00,-0.6742913774255246,0.34
2011-01-13 00:00:00+00:00,-0.6055746986044277,0.36
2011-01-14 00:00:00+00:00,-0.6749417727656146,0.39
2011-01-15 00:00:00+00:00,-0.7706332588053445,0.39
2011-01-16 00:00:00+00:00,-0.760764764351199,0.39
2011-01-17 00:00:00+00:00,-0.6003305793851074,0.35
2011-01-18 00:00:00+00:00,-0.9056317497737902,0.32
2011-01-19 00:00:00+00:00,-0.7599072264985971,0.31
2011-01-20 00:00:00+00:00,-0.5060734292206162,0.35
2011-01-21 00:00:00+00:00,-0.6459537575036454,0.4
2011-01-22 00:00:00+00:00,-0.7474854539318595,0.43
2011-01-23 00:00:00+00:00,-1.2159572963144203,0.44
2011-01-24 00:00:00+00:00,-1.0656174839719312,0.41
2011-01-25 00:00:00+00:00,-1.0342368905424497,0.42
2011-01-26 00:00:00+00:00,-0.9973986347672753,0.41
2011-01-27 00:00:00+00:00,-1.027366574590445,0.44
2011-01-28 00:00:00+00:00,-0.9057570284688915,0.43
2011-01-29 00:00:00+00:00,-1.2107362620058169,0.44
2011-01-30 00:00:00+00:00,-0.5652110005694336,0.46
2011-01-31 00:00:00+00:00,-1.2506483835018243,0.51
2011-02-01 00:00:00+00:00,-0.8295430509473428,0.74
2011-02-02 00:00:00+00:00,-1.3762598947633298,0.73
2011-02-03 00:00:00+00:00,-1.3502681854350203,0.71
2011-02-04 00:00:00+00:00,-1.3954392030740235,0.8
2011-02-05 00:00:00+00:00,-0.8643656422022935,0.86
2011-02-06 00:00:00+00:00,-1.4040295488340446,0.87
2011-02-07 00:00:00+00:00,-1.379834150826607,0.86
2011-02-08 00:00:00+00:00,-1.388698605386626,0.9
2011-02-09 00:00:00+00:00,-1.4047113560140676,0.96
2011-02-10 00:00:00+00:00,-1.3890156994991147,0.96
2011-02-11 00:00:00+00:00,-1.3889821133384292,0.99
2011-02-12 00:00:00+00:00,-1.40196661877244,1.06
2011-02-13 00:00:00+00:00,-1.3819386452549831,1.05
2011-02-14 00:00:00+00:00,-1.3706430070633526,1.06
2011-02-15 00:00:00+00:00,-1.3538816425203293,1.05
2011-02-16 00:00:00+00:00,-1.3386387683326642,1.04
2011-02-17 00:00:00+00:00,-1.3288858319140695,1.04
2011-02-18 00:00:00+00:00,-1.0122350900757007,0.89
2011-02-19 00:00:00+00:00,-1.1266185301644627,0.91
2011-02-20 00:00:00+00:00,-0.6329361988767362,0.85
2011-02-21 00:00:00+00:00,-0.6255409023230415,0.84
2011-02-22 00:00:00+00:00,-0.6369217644674297,0.88
2011-02-23 00:00:00+00:00,-0.12818462597536076,0.9
2011-02-24 00:00:00+00:00,-0.24018701799606618,0.95
2011-02-25 00:00:00+00:00,-0.6337513336038679,0.96
2011-02-26 00:00:00+00:00,-0.7254805562693666,0.94
2011-02-27 00:00:00+00:00,-0.5810511037631704,0.93
2011-02-28 00:00:00+00:00,-0.5595330341285357,0.88
2011-03-01 00:00:00+00:00,-0.5691769520891022,0.95
2011-03-02 00:00:00+00:00,-0.5559822169279232,0.92
2011-03-03 00:00:00+00:00,-0.4687251308626208,0.92
2011-03-04 00:00:00+00:00,-0.6259072088079378,0.91
2011-03-05 00:00:00+00:00,-0.5194650947184201,0.88
2011-03-06 00:00:00+00:00,-0.5001128728989714,0.85
2011-03-07 00:00:00+00:00,-0.6176759971561989,0.89
2011-03-08 00:00:00+00:00,-0.4827676096317772,0.87
2011-03-09 00:00:00+00:00,-0.3829325816331455,0.85
