date,lth_supply,sth_supply,total_supply,realized_cap,coindays_destroyed_1m,lth_ratio,sth_ratio,active_ratio,illiquidity_factor,illiquidity_4y_mean,iip_multiplier,iip_penalty,spot_price,realized_price,mvrv
2010-01-01 00:00:00+00:00,1014700.47,616299.53,1631000.0,0.0,302770.41762940073,0.6221339484978541,0.3778660515021459,0.3778660515021459,1.646440441062806,,,,,0.0,
2010-01-02 00:00:00+00:00,1018700.47,618649.53,1637350.0,0.0,302770.41762940073,0.6221641493877301,0.3778358506122698,0.3778358506122699,1.646651974341595,,,,,0.0,
2010-01-03 00:00:00+00:00,1022650.47,623999.53,1646650.0,0.0,302770.41762940073,0.6210490814684358,0.3789509185315641,0.37895091853156415,1.6388641670932023,,,,,0.0,
2010-01-04 00:00:00+00:00,1031600.47,624099.53,1655700.0,0.0,727886.6923356708,0.6230600169112762,0.37693998308872384,0.3769399830887238,1.6529422318263884,,,,,0.0,
2010-01-05 00:00:00+00:00,1035350.47,630249.53,1665600.0,0.0,727651.4963866007,0.6216081111911623,0.3783918888088377,0.3783918888088377,1.6427627800055637,,,,,0.0,
2010-01-06 00:00:00+00:00,1039700.47,634049.53,1673750.0,0.0,727651.4963866007,0.6211802658700523,0.37881973412994774,0.37881973412994774,1.6397779996777222,,,,,0.0,
2010-01-07 00:00:00+00:00,1043100.47,638349.53,1681450.0,0.0,724635.9257849003,0.6203577091201047,0.37964229087989537,0.3796422908798953,1.6340584914349354,,,,,0.0,
2010-01-08 00:00:00+00:00,1046450.47,642649.53,1689100.0,0.0,721728.0369193004,0.6195313894973654,0.38046861050263453,0.3804686105026346,1.6283377193164676,,,,,0.0,
2010-01-09 00:00:00+00:00,1049500.47,647149.53,1696650.0,0.0,721728.0369193004,0.6185721686853505,0.38142783131464947,0.3814278313146495,1.6217279335735586,,,,,0.0,
2010-01-10 00:00:00+00:00,1053350.47,652799.53,1706150.0,0.0,721728.0369193004,0.6173844445095683,0.3826155554904317,0.3826155554904317,1.613589504269404,,,,,0.0,
2010-01-11 00:00:00+00:00,1056400.47,657699.53,1714100.0,0.0,707625.0155075705,0.6163003733737822,0.38369962662621787,0.3836996266262178,1.6062052986414634,,,,,0.0,
2010-01-12 00:00:00+00:00,1057600.47,664449.53,1722050.0,0.0,1191083.7417797102,0.6141520106849394,0.38584798931506054,0.3858479893150606,1.591694210393978,,,,,0.0,
2010-01-13 00:00:00+00:00,1058500.47,671749.53,1730250.0,0.0,986446.9542298797,0.6117615778066753,0.38823842219332466,0.3882384221933247,1.575736822621967,,,,,0.0,
2010-01-14 00:00:00+00:00,1059300.47,678099.53,1737400.0,0.0,975042.6991141397,0.6097044261540232,0.39029557384597674,0.3902955738459768,1.562160749469919,,,,,0.0,
2010-01-15 00:00:00+00:00,1059750.47,684699.53,1744450.0,0.0,973718.39551464,0.6074983347186792,0.3925016652813208,0.3925016652813208,1.5477598911160342,,,,,0.0,
2010-01-16 00:00:00+00:00,1060600.47,690099.53,1750700.0,0.0,933203.32250597,0.6058150853944136,0.39418491460558636,0.39418491460558636,1.5368804409995758,,,,,0.0,
2010-01-17 00:00:00+00:00,1061500.47,695749.53,1757250.0,0.0,933203.32250597,0.6040691250533504,0.39593087494664964,0.3959308749466496,1.5256934057864187,,,,,0.0,
2010-01-18 00:00:00+00:00,1062050.47,701449.53,1763500.0,0.0,933271.3688022699,0.6022401304224553,0.39775986957754467,0.3977598695775447,1.5140796658599225,,,,,0.0,
