Peak,Date,Spot Price,Realized Price,MVRV,1Y Ann Volatility,LTH Supply Ratio,Active Supply Ratio,Illiquidity Factor,IIP Penalty,Coindays Destroyed (1M)
2013 Peak,2013-12-04,1138.58,234.27710498335165,4.859971272399454,1.3275116708402979,0.5815074827321115,0.4184925172678885,1.3895289849588222,0.0510570466818487,512.974099118
2017 Peak,2017-12-16,19385.84,4325.380327503976,4.481881021359081,0.8541881684143404,0.5357576730294848,0.4642423269705151,1.1540474487228558,0.0,664.4470757486305
2021 Apr Peak,2021-04-15,63165.73,18696.126388426565,3.378546373065888,0.6512381045393848,0.6557796684321233,0.3442203315678767,1.9051160210239075,0.0,438.5380289761391
2021 Nov Peak,2021-11-09,67330.06,23704.83652063064,2.8403511638395704,0.772347225714135,0.7795320751996523,0.2204679248003477,3.535807196922565,0.9107338220347964,369.8327418208695
2024 Mar Peak,2024-03-13,73181.77,26544.65950450082,2.756930070532325,0.4382733640757665,0.7735978052813259,0.226402194718674,3.4169183131930043,0.0,691.8966335074692
2025 Top Peak,2025-10-06,124672.41,54499.81250791275,2.28757502572874,0.4381686125294881,0.7723594177308196,0.2276405822691803,3.392889835510613,0.0,423.54621827336877
