date,lth_ratio,active_ratio,illiquidity_factor,illiquidity_4y_mean,iip_multiplier,iip_penalty
2013-06-30 00:00:00+00:00,0.5463472317093888,0.4536527682906112,1.2043291034419463,1.3256249625709275,0.9084991135850828,0.0
2013-07-01 00:00:00+00:00,0.5499161771498209,0.4500838228501791,1.2218083593128235,1.3255437289220555,0.921741269378121,0.0
2013-07-02 00:00:00+00:00,0.5502935143651033,0.4497064856348967,1.2236726219062588,1.3254640798938966,0.9232031561385003,0.0
2013-07-03 00:00:00+00:00,0.5498771482927428,0.4501228517072572,1.2216157127040554,1.3253829483570294,0.921707733012858,0.0
2013-07-04 00:00:00+00:00,0.5505024599360661,0.4494975400639339,1.2247062794999184,1.325304356109678,0.9240943590459048,0.0
2013-07-05 00:00:00+00:00,0.5502091882371303,0.4497908117628697,1.2232557309934584,1.325224754998043,0.923055297888142,0.0
2013-07-06 00:00:00+00:00,0.5501596310991393,0.4498403689008606,1.223010803684424,1.3251450870702848,0.9229259615551488,0.0
2013-07-07 00:00:00+00:00,0.5503033513782563,0.4496966486217437,1.223721264245259,1.325066096554066,0.923517149391746,0.0
2013-07-08 00:00:00+00:00,0.553794117088368,0.446205882911632,1.2411179195457698,1.325000767233437,0.9366922270823947,0.0
2013-07-09 00:00:00+00:00,0.5544696854779172,0.4455303145220828,1.2445161808410117,1.3249381820185129,0.9393013181528362,0.0
2013-07-10 00:00:00+00:00,0.5520973946403718,0.4479026053596282,1.2326282277306333,1.3248664571123063,0.9303792251011348,0.0
2013-07-11 00:00:00+00:00,0.5522471349254848,0.4477528650745151,1.2333748770844375,1.3247954232768808,0.930992706808788,0.0
2013-07-12 00:00:00+00:00,0.55177932476151,0.4482206752384899,1.231043892537796,1.324722691290272,0.9292842197326344,0.0
2013-07-13 00:00:00+00:00,0.55058899460456,0.44941100539544,1.2251346495622482,1.3246454912579244,0.9248773786251462,0.0
2013-07-14 00:00:00+00:00,0.550889927399485,0.449110072600515,1.2266256336884775,1.3245695657292107,0.9260560301437906,0.0
2013-07-15 00:00:00+00:00,0.5516092039753548,0.4483907960246451,1.2301974279263226,1.324496522278899,0.9288038188350036,0.0
2013-07-16 00:00:00+00:00,0.5519017693092014,0.4480982306907985,1.2316535337762369,1.3244247179567776,0.9299535995343992,0.0
2013-07-17 00:00:00+00:00,0.5526327965914415,0.4473672034085585,1.2353002016706822,1.3243558427509925,0.9327555040680598,0.0
2013-07-18 00:00:00+00:00,0.5531087307522047,0.4468912692477953,1.2376807711710145,1.3242889121937875,0.9346002671884488,0.0
2013-07-19 00:00:00+00:00,0.5534922782837453,0.4465077217162547,1.2396029259164227,1.324223568068574,0.9360979186652196,0.0
2013-07-20 00:00:00+00:00,0.553646689333542,0.446353310666458,1.2403776920728613,1.3241589220577832,0.9367287199524938,0.0
2013-07-21 00:00:00+00:00,0.5536640193393539,0.446335980660646,1.2404646798132783,1.3240944426723866,0.9368400318255846,0.0
2013-07-22 00:00:00+00:00,0.5535648507094993,0.4464351492905006,1.239966995406287,1.3240296794335369,0.9365099700308724,0.0
2013-07-23 00:00:00+00:00,0.5541565693873507,0.4458434306126493,1.2429398558724178,1.323967302646182,0.9387995106738538,0.0
