label,date,total_indicators,extreme_m2,extreme_m1_5,mean_normalized,spot_price,realized_cap_b,realized_price,mvrv,lth_ratio,active_ratio,illiquidity_factor,iip_penalty,coindays_destroyed_1m_m
2013 Peak (Cycle 1),2013-12-04,15,12,13,-1.6351081527476519,1138.58,2.82947348762,234.27710498335165,4.859971272399454,0.5815074827321115,0.4184925172678885,1.3895289849588222,0.05105704668184874,512.974099118
2017 Peak (Cycle 2),2017-12-16,17,13,14,-1.6415131144679371,19385.84,72.43227217664,4325.380327503976,4.481881021359081,0.5357576730294848,0.46424232697051515,1.1540474487228558,0.0,664.4470757486305
2021 Apr Peak (Cycle 3a),2021-04-15,16,9,11,-1.3567775979129482,63165.73,349.31259702715005,18696.126388426565,3.3785463730658876,0.6557796684321233,0.3442203315678767,1.9051160210239073,0.0,438.53802897613906
2021 Nov Peak (Cycle 3b),2021-11-09,16,2,5,-0.7375363552448726,67330.06,447.27470889359995,23704.83652063064,2.8403511638395704,0.7795320751996523,0.22046792480034771,3.535807196922565,0.9107338220347965,369.83274182086944
2024 Mar Peak (Cycle 4a),2024-03-13,17,5,5,-0.8755335256209238,73181.77,521.69395237227,26544.65950450082,2.756930070532325,0.7735978052813259,0.22640219471867407,3.4169183131930043,0.0,691.8966335074692
2025 Top Peak (Cycle 4b),2025-10-06,17,2,2,-0.20903176743004953,124672.41,1086.23003605075,54499.81250791275,2.28757502572874,0.7723594177308196,0.22764058226918038,3.392889835510613,0.0,423.5462182733688
